"Year","Count","Abundance","Stderror","CV","LCL","UCL","Nmin"
1975,1897,2902,190.4,0.066,2553,3300,2747
1976,2487,3804,242.8,0.064,3358,4311,3606
1977,3125,4782,451.8,0.094,3975,5752,4417
1978,2982,4562,363.9,0.08,3903,5333,4267
1980,3032,4640,387.6,0.084,3940,5463,4325
1981,4489,6868,548.7,0.08,5874,8030,6422
1982,5172,7913,533.7,0.067,6934,9029,7476
1983,4934,7548,545.4,0.072,6553,8695,7103
1984,4184,6402,444.6,0.069,5588,7334,6039
1985,5526,8455,758.1,0.09,7095,10076,7841
1986,5124,7840,668.1,0.085,6636,9263,7298
1987,8034,12292,800.7,0.065,10820,13964,11637
1988,7218,11043,687.1,0.062,9776,12474,10480
1989,8034,12292,843.7,0.069,10746,14059,11602
1991,10448,15985,1002.5,0.063,14138,18074,15164
1992,8508,13017,879.9,0.068,11404,14859,12298
1993,8798,13461,937.4,0.07,11745,15427,12695
1994,7236,11071,732.3,0.066,9727,12602,10472
1995,7840,11994,902.5,0.075,10352,13897,11259
1996,9753,14921,1013.4,0.068,13064,17043,14093
1999,8034,12291,981,0.08,10514,14369,11494
2000,10097,15449,873.6,0.057,13830,17258,14731
2001,10053,15381,999.4,0.065,13544,17468,14563
2004,14628,22380,1531.7,0.068,19574,25589,21128
2005,13729,21005,1234.1,0.059,18722,23567,19992
2007,14326,21919,1525.7,0.07,19126,25118,20672
2014,12360,18910,1279.4,0.068,16564,21588,17864
