"Year","Count","Abundance","Stderror","CV","LCL","UCL","Nmin"
1980,4729,7235,634.3,0.088,6095,8589,6721
1981,6188,9468,832.7,0.088,7971,11245,8793
1983,7292,11156,767,0.069,9751,12763,10529
1986,6916,10582,885,0.084,8985,12463,9864
1987,10940,16738,1094.5,0.065,14727,19024,15843
1989,11701,17902,1210.1,0.068,15683,20435,16913
1991,13966,21368,1487.7,0.07,18646,24489,20153
1992,12824,19620,1369.8,0.07,17114,22494,18501
1993,11834,18105,1269.2,0.07,15784,20768,17069
1994,10213,15626,1060.4,0.068,13682,17846,14759
1995,12014,18381,1321.5,0.072,15968,21159,17303
1996,13137,20099,1349.7,0.067,17623,22923,18996
1999,11206,17145,1324.5,0.077,14740,19944,16067
2000,13456,20588,1231.6,0.06,18312,23147,19578
2001,12291,18805,1253.9,0.067,16504,21428,17780
2004,20631,31565,2169.5,0.069,27591,36111,29792
2005,13729,21005,1235.4,0.059,18720,23569,19991
2007,16694,25542,1834.2,0.072,22192,29397,24045
2014,15637,23925,1752.8,0.073,20728,27614,22495
