Area,Renamed Polygon,Sitecode,Tidestation,Latitude.DMS,Longitude.DMS,Latitude.DD,Longitude.DD,Description,Tidetype,Polygon ID,Atlas ID#,Region,Stock,BuoySite
2,,1,,,,,,unknown haulout location 1.00,,100,,,NA,0
Tip of South Jetty,Columbia River/South Jetty,1.02,Astoria,46 14.03,124  3.94,46.2342,-124.0761,Year round on concrete slabs and rock rubble. Abandoned during high ocean swell.,LOW,102,2,Columbia River,Coastal,0
Chinook/Baker Bay,Baker Bay,1.03,Astoria,46 15.90,123 57.89,46.275,-123.9747,Chinook Channel area. Intermittent use at low tides.,LOW,103,3,Columbia River,Coastal,0
Chinook/Baker Bay,Baker Bay,1.03,Astoria,46 15.74,123 57.63,46.2706,-123.9675,On shoals northwest of entrance channel. Intermittent use at low tides.,LOW,103,4,Columbia River,Coastal,0
Desdemona Sands,Desdemona Sands,1.04,Astoria,46 12.80,123 55.90,46.2222,-123.9417,Shoal to the west of Astoria/Megler bridge. Alternate site used intermitently.,LOW,104,5,Columbia River,Coastal,0
Desdemona Sands,Desdemona Sands,1.04,Astoria,46 13.19,123 53.61,46.2219,-123.9003,Shoals west of Astoria/Megler bridge. Alternate site used intermittently on extreme low tides.,LOW,104,6,Columbia River,Coastal,0
Desdemona Sands,Desdemona Sands,1.04,Astoria,46 12.73,123 53.33,46.2203,-123.8925,Shoals west of Astoria/Megler bridge. Main lower river haulout.,LOW,104,7,Columbia River,Coastal,0
Taylor Sands,Taylor Sands/Tongue Point,1.05,Astoria,46 14.20,123 48.40,46.2389,-123.8111,Shoals north of Taylor Sands channel. Used extensively in 1980's.,LOW,105,8,Columbia River,Coastal,0
Tongue Pt. Sands,Taylor Sands/Tongue Point,1.14,Astoria,46 13.88,123 45.86,46.2411,-123.7739,Along northwest side of shoal during winter and spring.,LOW,105,26,Columbia River,Coastal,0
Tongue Pt. Sands,Taylor Sands/Tongue Point,1.14,Astoria,46 14.08,123 45.16,46.2356,-123.7544,Shoals upriver from main shoal area.,LOW,105,27,Columbia River,Coastal,0
Grays Bay,Grays Bay,1.06,Astoria,46 16.14,123 42.42,46.2706,-123.7117,Intermittent use of shoal area.,LOW,106,9,Columbia River,Coastal,0
Grays Bay,Grays Bay,1.06,Astoria,46 16.71,123 43.54,46.2864,-123.7317,Year round on intertidal sand bars.,LOW,106,10,Columbia River,Coastal,0
Grays Bay,Grays Bay,1.06,Astoria,46 16.50,123 43.54,46.2806,-123.7317,Year round on intertidal sand bars.,LOW,106,11,Columbia River,Coastal,0
Cathlamet Bay,Cathlamet Bay,1.07,Astoria,46 12.31,123 39.56,46.2086,-123.6656,Exposed channels along Sanborn Slough.,LOW,107,12,Columbia River,Coastal,0
Cathlamet Bay,Cathlamet Bay,1.07,Astoria,46 12.99,123 41.74,46.2275,-123.7039,Along shoals west of Green Island. Intermittent during pupping season.,LOW,107,13,Columbia River,Coastal,0
Cathlamet Bay,Cathlamet Bay,1.07,Astoria,46 12.86,123 40.50,46.2239,-123.6806,Exposed channels north of Green Island during pupping season. Nursery area.,LOW,107,14,Columbia River,Coastal,0
Lower Woody/Snag Is.,Lower Woody/Snag Is.,1.08,Astoria,46 13.40,123 37.55,46.2278,-123.6319,Shoals southwest of Snag Island.,LOW,108,15,Columbia River,Coastal,0
Lower Woody/Snag Is.,Lower Woody/Snag Is.,1.08,Astoria,46 13.95,123 37.10,46.2431,-123.6194,Along northeast side of Snag Island (near line of pilings).,LOW,108,16,Columbia River,Coastal,0
Lower Woody/Snag Is.,Lower Woody/Snag Is.,1.08,Astoria,46 13.92,123 36.59,46.2422,-123.6164,Shoals in lower Woody Island channel.,LOW,108,17,Columbia River,Coastal,0
South of Miller Sands,Lower Woody/Snag Is.,1.09,Astoria,46 13.87,123 38.84,46.2408,-123.6567,Along shoals on south side during winter and early spring.,LOW,108,18,Columbia River,Coastal,0
Three Tree Point Area,Three Tree Point Area,1.1,Astoria,46 15.77,123 30.85,46.2714,-123.5236,On shoal just downriver from line of range markers during winter and spring.,LOW,110,19,Columbia River,Coastal,0
Three Tree Point Area,Three Tree Point Area,1.1,Astoria,46 15.28,123 30.79,46.2578,-123.5219,Along north side of Grassy Island during winter and spring.,LOW,110,20,Columbia River,Coastal,0
NE of Welch Island,NE of Welch Island,1.11,Astoria,46 14.99,123 27.03,46.2608,-123.4508,On shoal along northeast side of island during winter and spring.,LOW,111,21,Columbia River,Coastal,0
Wallace Is./Eureka Bar,Wallace Is./Eureka Bar,1.12,Astoria,46  8.74,123 16.04,46.1539,-123.2678,Along edge of unnamed island south of Waterford during spring and winter.,LOW,112,22,Columbia River,Coastal,0
Wallace Is./Eureka Bar,Wallace Is./Eureka Bar,1.12,Astoria,46  8.91,123 15.26,46.1586,-123.2572,Shoals south of Cooper Point along lower Eureka Channel during spring and winter.,LOW,112,23,Columbia River,Coastal,0
Cowlitz R./Carroll Slough,Cowlitz R./Carroll Slough,1.13,Astoria,46  5.98,122 54.34,46.1106,-122.9094,Shoals near confluence with Columbia River during winter and spring.,LOW,113,24,Columbia River,Coastal,0
Cowlitz R./Carroll Slough,Cowlitz R./Carroll Slough,1.13,Astoria,46  5.53,122 53.66,46.0981,-122.9017,Log booms anchored along Carroll Channel used intermittently during winter and spring.,LOW,113,25,Columbia River,Coastal,0
E Puget Island,Shoal E of Puget Island,1.15,Astoria,46  8.95,123 18.76,46.1597,-123.3211,Upriver end of Puget Island during winter and spring.,LOW,115,28,Columbia River,Coastal,0
Astoria/E Mooring Basin,Astoria/East Mooring Basin,1.16,Astoria,46 11.80,123 47.95,46.2056,-123.8097,On marina floats and upriver jetty near processing plant from late fall through spring.,ALL,116,29,Columbia River,Coastal,0
