"Year","Count","Abundance","Stderror","CV","LCL","UCL","Nmin"
1983,4045,6189,385.5,0.062,5478,6992,5873
1984,5152,7883,575.9,0.073,6833,9095,7413
1985,4534,6937,527.9,0.076,5977,8051,6507
1986,4924,7533,629.5,0.084,6397,8871,7022
1987,4919,7525,698,0.093,6277,9022,6961
1988,6491,9932,838.6,0.084,8419,11716,9251
1989,6396,9786,772.8,0.079,8385,11421,9157
1991,7411,11338,832.2,0.073,9821,13090,10660
1992,7793,11924,1084,0.091,9982,14245,11047
1993,9761,14934,1212.3,0.081,12741,17505,13949
1994,9888,15128,1313.2,0.087,12766,17928,14064
1995,10154,15536,1166.2,0.075,13413,17994,14585
1996,11820,18085,1300,0.072,15711,20817,17024
1998,7246,11086,783.9,0.071,9653,12732,10446
1999,7131,10911,901.7,0.083,9282,12826,10179
2000,8970,13724,1200.5,0.087,11566,16286,12752
2004,8964,13715,1096.2,0.08,11730,16037,12824
2013,11071,16938,1430.4,0.084,14358,19981,15777
2014,11668,17852,1430,0.08,15262,20881,16689
2019,10752,16451,1211,0.074,14243,19000,15463
