Day,Sitecode,Tidestation,Tidetime,Survey.time,Species,Estimated.total,Estimated.pups,Count.total,Count.pups,CountAM,Photo,Photoroll,Photo_number,Counttype,Countquality,Remarks,EstimatedAM,Tide.ht..ft.,GR.AER,Count.nonpup,Polygon,Region,Stock
6/7/1989,3.04,NA,NA,9:38:00,PV,1,0,0,0,NA,NA,NA,'NP',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:40:00,PV,1,0,0,0,NA,NA,NA,'np',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:42:00,PV,7,0,0,0,NA,NA,NA,'np',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:42:00,PV,55,12,45,11,NA,NA,NA,'01 1-3',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:43:00,PV,1,0,0,0,NA,NA,NA,'np',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:45:00,PV,2,0,0,0,NA,NA,NA,'np',NA,NA,-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:46:00,PV,6,3,0,0,NA,NA,NA,'np',NA,NA,+-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:46:00,PV,180,53,123,49,NA,NA,NA,'01,NA,NA,-0--0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:46:00,PV,17,6,0,0,NA,NA,NA,'np',NA,NA,+-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:46:00,PV,18,8,0,0,NA,NA,NA,'np',NA,NA,+-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:47:00,PV,23,11,0,0,NA,NA,NA,'np',NA,NA,+-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:47:00,PV,250,97,263,84,NA,NA,NA,'01,NA,NA,-0--0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.04,NA,NA,9:49:00,PV,8,3,0,0,NA,NA,NA,'np',NA,NA,+-0-,NA,NA,NA,NA,NA,NA,NA
6/7/1989,3.05,NA,NA,9:50:00,PV,180,73,129,47,NA,NA,NA,'01,NA,NA,-0--0-,NA,NA,NA,NA,NA,NA,NA
