"Year","Count","Abundance","Stderror","CV","LCL","UCL","Nmin"
1985,287,439,30.2,0.069,384,502,414
1991,438,670,82.3,0.123,527,852,605
1992,242,369,31.2,0.084,313,436,344
1993,984,1505,158.2,0.105,1226,1849,1378
1994,717,1097,98.6,0.09,920,1308,1017
1996,1050,1606,106.1,0.066,1412,1828,1520
1998,770,1178,78.3,0.066,1034,1342,1114
2000,1130,1729,142.5,0.082,1472,2032,1614
2004,1113,1703,125.6,0.074,1474,1967,1601
2005,1040,1591,119.8,0.075,1373,1844,1494
2008,1494,2286,155.9,0.068,2000,2612,2158
2010,1163,1779,117.4,0.066,1564,2025,1683
2013,1410,2157,166.5,0.077,1854,2509,2021
2014,1556,2381,164.2,0.069,2081,2726,2247
2019,1580,2417,199.8,0.083,2056,2841,2254
