Year,Puget Sound,Eastern Bays,San Juan Islands,Strait of Juan de Fuca,Hood Canal
1975,no,no,no,no,no
1976,no,no,no,no,no
1977,no,no,no,no,no
1978,yes,yes,yes,yes,yes
1979,no,no,no,no,no
1980,no,no,no,no,no
1981,no,no,no,no,no
1982,no,no,no,no,no
1983,no,yes,yes,yes,no
1984,no,yes,yes,yes,no
1985,yes,yes,yes,yes,no
1986,no,yes,yes,yes,no
1987,no,yes,yes,yes,no
1988,no,yes,yes,yes,no
1989,no,yes,yes,yes,no
1990,no,no,yes,yes,no
1991,yes,yes,yes,yes,yes
1992,yes,yes,yes,yes,yes
1993,yes,yes,yes,yes,yes
1994,yes,yes,yes,yes,no
1995,no,yes,yes,yes,no
1996,yes,yes,yes,yes,yes
1997,yes,yes,yes,yes,yes
1998,yes,yes,yes,yes,yes
1999,yes,yes,yes,yes,yes
2000,yes,yes,yes,yes,yes
2001,yes,yes,yes,no,no
2002,yes,yes,yes,no,yes
2003,no,no,no,no,yes
2004,yes,yes,yes,yes,yes
2005,yes,yes,yes,no,yes
2006,yes,yes,yes,no,yes
2007,no,yes,no,no,yes
2008,yes,yes,no,no,yes
2009,no,no,no,no,no
2010,yes,yes,yes,no,yes
2011,no,no,no,no,no
2012,no,no,no,no,no
2013,yes,yes,yes,yes,yes
2014,yes,yes,yes,yes,yes
2015,no,no,no,no,yes
2016,yes,yes,no,no,yes
2017,no,no,no,no,no
2018,no,no,no,no,no
2019,yes,yes,yes,yes,yes
