"Sitecode","Day","Survey.time","Species","Count.total","Count.pups","Count.nonpup","Estimated.total","Estimated.pups","Region","Stock","Tidestation","Year","Julian","use","year","nearest_high_height","nearest_low_height","tide_height","time_from_high_minutes","time_from_low_minutes"
3.22,1975-06-27,1975-06-27 09:57:00,"PV",15,0,15,15,0,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.56,-0.15,-0.145245,395,10
3.2,1975-06-27,1975-06-27 09:58:00,"PV",40,2,38,40,2,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.56,-0.15,-0.144289,396,11
3.21,1975-06-27,1975-06-27 10:00:00,"PV",140,8,132,98,8,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.142091,-394,13
3.13,1975-06-27,1975-06-27 10:02:00,"PV",18,2,16,18,2,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.139515,-392,15
3.1,1975-06-27,1975-06-27 10:04:00,"PV",39,3,36,39,3,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.136565,-390,17
3.07,1975-06-27,1975-06-27 10:09:00,"PV",638,28,610,303,33,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.127565,-385,22
3.06,1975-06-27,1975-06-27 10:11:00,"PV",23,3,20,23,3,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.123324,-383,24
3.02,1975-06-27,1975-06-27 10:12:00,"PV",89,8,81,48,8,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.121067,-382,25
2.12,1975-06-27,1975-06-27 10:23:00,"PV",252,10,242,170,10,"Willapa Bay","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.090407,-371,36
2.08,1975-06-27,1975-06-27 10:26:00,"PV",24,4,20,24,4,"Willapa Bay","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.080241,-368,39
2.07,1975-06-27,1975-06-27 10:28:00,"PV",54,9,45,54,9,"Willapa Bay","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.073049,-366,41
2.09,1975-06-27,1975-06-27 10:32:00,"PV",118,5,113,90,5,"Willapa Bay","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.057692,-362,45
2.1,1975-06-27,1975-06-27 10:33:00,"PV",20,0,20,20,0,"Willapa Bay","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,-0.053653,-361,46
3.09,1975-06-27,1975-06-27 10:50:00,"PV",100,5,95,65,5,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,0.026444,-344,63
3.11,1975-06-27,1975-06-27 10:51:00,"PV",128,10,118,60,10,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,0.031789,-343,64
3.04,1975-06-27,1975-06-27 10:54:00,"PV",199,18,181,138,18,"Grays Harbor","Coastal","Aberdeen",1975,178,TRUE,"1975",2.39,-0.15,0.048217,-340,67
3.2,1975-07-25,1975-07-25 09:04:00,"PV",71,0,71,65,0,"Grays Harbor","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.15013,-378,22
3.13,1975-07-25,1975-07-25 09:05:00,"PV",40,0,40,50,0,"Grays Harbor","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.147932,-377,23
3.09,1975-07-25,1975-07-25 09:08:00,"PV",426,0,426,150,0,"Grays Harbor","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.140774,-374,26
3.06,1975-07-25,1975-07-25 09:09:00,"PV",276,0,276,250,0,"Grays Harbor","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.138203,-373,27
2.13,1975-07-25,1975-07-25 09:22:00,"PV",547,0,547,350,0,"Willapa Bay","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.096615,-360,40
2.07,1975-07-25,1975-07-25 09:26:00,"PV",14,0,14,10,0,"Willapa Bay","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.080899,-356,44
2.09,1975-07-25,1975-07-25 09:30:00,"PV",32,0,32,27,0,"Willapa Bay","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,-0.063882,-352,48
3.02,1975-07-25,1975-07-25 09:44:00,"PV",20,0,20,15,0,"Grays Harbor","Coastal","Aberdeen",1975,206,FALSE,"1975",2.46,-0.17,0.005263,-338,62
2.09,1975-07-28,1975-07-28 13:36:00,"PV",117,0,117,120,0,"Willapa Bay","Coastal","Aberdeen",1975,209,FALSE,"1975",2.44,0.3,1.415682,-203,196
2.13,1975-07-28,1975-07-28 13:40:00,"PV",424,0,424,390,0,"Willapa Bay","Coastal","Aberdeen",1975,209,FALSE,"1975",2.44,0.3,1.447529,-199,200
3.06,1975-07-28,1975-07-28 14:50:00,"PV",1277,0,1277,900,0,"Grays Harbor","Coastal","Aberdeen",1975,209,FALSE,"1975",2.44,0.3,1.957614,-129,270
3.17,1975-08-25,1975-08-25 10:04:00,"PV",54,0,54,50,0,"Grays Harbor","Coastal","Aberdeen",1975,237,FALSE,"1975",2.56,0.32,0.435828,-336,52
3.2,1975-08-25,1975-08-25 10:06:00,"PV",95,0,95,50,0,"Grays Harbor","Coastal","Aberdeen",1975,237,FALSE,"1975",2.56,0.32,0.444715,-334,54
